model,prompt,story_id,topic_switch_rate,n_sentences
gpt4o,large,1111,0.20820869886049964,5.0
gpt4o,large,1201,0.6350350629114655,5.0
gpt4o,large,1214,0.45963540748735693,6.0
gpt4o,large,1467,0.3993036868305384,5.0
gpt4o,large,2400,0.245821347583566,5.0
gpt4o,large,2702,0.12254885826659316,6.0
gpt4o,large,2722,0.16685878211342534,5.0
gpt4o,large,2926,0.22908547818278463,5.0
gpt4o,large,3230,0.41561516608314636,5.0
gpt4o,large,3295,0.495793841679664,5.0
gpt4o,large,3761,0.13171257278250956,5.0
gpt4o,large,3891,0.33518197617615575,5.0
gpt4o,large,4047,0.28798280197838577,8.0
gpt4o,large,4173,0.18506334606809152,8.0
gpt4o,large,4797,0.005500422592443728,5.0
gpt4o,large,5047,0.717466743656544,5.0
gpt4o,large,5062,0.31077425013572463,5.0
gpt4o,large,5201,0.5128850251491492,9.0
gpt4o,large,5265,0.017005896594908986,5.0
gpt4o,large,5349,0.5431587573059209,6.0
gpt4o,large,5540,0.08917145965220483,5.0
gpt4o,large,5721,0.1473584389956561,5.0
gpt4o,large,6111,0.5389393874929532,5.0
gpt4o,large,6215,0.4665648154486194,7.0
gpt4o,large,6729,0.4019335295946552,9.0
gpt4o,large,6847,0.25154484462776383,5.0
gpt4o,large,6878,0.5048611039589204,5.0
gpt4o,large,6921,0.24182160614326417,7.0
gpt4o,large,7065,0.584619198457111,5.0
gpt4o,large,7150,0.2816613234810278,5.0
gpt4o,large,7195,0.15224818272245905,5.0
gpt4o,large,7596,0.39208607728737827,6.0
gpt4o,large,7702,0.09591148887884592,5.0
gpt4o,large,8061,0.4243846059317417,8.0
gpt4o,large,8085,0.2524197618291476,6.0
gpt4o,large,8154,0.5504684684440864,6.0
gpt4o,large,8551,0.5260931240060825,7.0
gpt4o,large,9334,0.02986079751441074,6.0
gpt4o,large,9418,0.3152732280003361,6.0
gpt4o,large,9914,0.08923976236962015,5.0
gpt4o,large,10408,0.25239523040314216,6.0
gpt4o,large,10486,0.48179693384579936,6.0
gpt4o,large,10499,0.4320439423116212,5.0
gpt4o,large,11260,0.031176528378495216,5.0
gpt4o,large,11340,0.12272607895347998,5.0
gpt4o,large,11457,0.7296499907859474,5.0
gpt4o,large,11541,0.17328896332521193,5.0
gpt4o,large,11543,0.1657449715973643,5.0
gpt4o,large,11678,0.3670314200465373,5.0
gpt4o,large,11719,0.049905354805115126,5.0
gpt4o,large,12358,0.628377505404244,5.0
gpt4o,large,12423,0.2628539943462388,6.0
gpt4o,large,13596,0.424526726534096,5.0
gpt4o,large,13683,0.1460256966484476,6.0
gpt4o,original,345,0.2264019790180587,5.0
gpt4o,original,515,0.07516953495779025,6.0
gpt4o,original,721,0.5527326312331069,5.0
gpt4o,original,723,0.43762687771676856,9.0
gpt4o,original,733,0.07017000780691143,6.0
gpt4o,original,948,0.022894763718212988,5.0
gpt4o,original,1111,0.13432600498233133,5.0
gpt4o,original,1201,0.5700300535862788,5.0
gpt4o,original,1214,0.29216107866867647,6.0
gpt4o,original,1467,0.17957008779995653,5.0
gpt4o,original,2400,0.2846743341272739,5.0
gpt4o,original,2702,0.0889110606746469,6.0
gpt4o,original,2722,0.1721845405050819,5.0
gpt4o,original,2926,0.1474527446256671,5.0
gpt4o,original,3230,0.30296894760237464,5.0
gpt4o,original,3295,0.20784778560080927,5.0
gpt4o,original,3761,0.3710858509059545,5.0
gpt4o,original,3891,0.08243796062284638,5.0
gpt4o,original,4047,0.507459001252168,8.0
gpt4o,original,4173,0.123245869058429,7.0
gpt4o,original,4797,0.010827594137716152,5.0
gpt4o,original,5047,0.6884556525060502,5.0
gpt4o,original,5062,0.288995920736025,5.0
gpt4o,original,5201,0.4771283199697707,9.0
gpt4o,original,5265,0.2445007316028375,5.0
gpt4o,original,5349,0.5418400647305583,6.0
gpt4o,original,5540,0.11575576311063049,5.0
gpt4o,original,5721,0.13468087706783963,5.0
gpt4o,original,6111,0.27687084427810077,5.0
gpt4o,original,6215,0.26256975405138133,7.0
gpt4o,original,6729,0.3493273992513277,8.0
gpt4o,original,6847,0.22533700539323182,5.0
gpt4o,original,6878,0.4464551079623102,5.0
gpt4o,original,6921,0.18695660660005842,7.0
gpt4o,original,7065,0.4802882021879914,5.0
gpt4o,original,7150,0.38134242415254144,5.0
gpt4o,original,7195,0.42960816096233867,5.0
gpt4o,original,7596,0.41408980925129574,6.0
gpt4o,original,7702,0.1414875536949366,5.0
gpt4o,original,8061,0.45007477446427424,5.0
gpt4o,original,8085,0.24264391157948043,6.0
gpt4o,original,8154,0.5964895760540425,6.0
gpt4o,original,8551,0.594854046076044,7.0
gpt4o,original,9334,0.28537110813840594,6.0
gpt4o,original,9418,0.2866752033242984,6.0
gpt4o,original,9914,0.10853922740207962,5.0
gpt4o,original,10408,0.21939863066866105,6.0
gpt4o,original,10486,0.07053053293278823,6.0
gpt4o,original,10499,0.6389678560882018,5.0
gpt4o,original,11260,0.01910384630548106,5.0
gpt4o,original,11340,0.12843589601877423,5.0
gpt4o,original,11457,0.5207154433290734,5.0
gpt4o,original,11541,0.28016662949971527,5.0
gpt4o,original,11543,0.28716549651121853,5.0
gpt4o,original,11678,0.19985378779389557,5.0
gpt4o,original,11719,0.06607902644120346,5.0
gpt4o,original,12358,0.6401000101805863,5.0
gpt4o,original,12423,0.23200850386819125,6.0
gpt4o,original,13596,0.0853506113013385,5.0
gpt4o,original,13683,0.0747796487992263,6.0
human,large,345,0.10517749424903149,5.0
human,large,515,0.23978009627192587,9.0
human,large,721,0.4484531687539171,5.0
