model,n_sentences,topic_switch_rate_mean,topic_switch_rate_std,count
claude45,5.814814814814815,0.26792376474122626,0.18493296038004547,54
gpt4o,5.796296296296297,0.31247711618227103,0.18351059273796996,54
human,5.769321506380329,0.3383225647605795,0.15052274562295997,54
internvl3,6.111111111111111,0.29097053652289245,0.21321003056657475,54
llama4scout,6.425925925925926,0.35951491106246775,0.18738176712946078,54
qwen3vl,5.796296296296297,0.2606451101391159,0.18170241684311647,54
