model,n_sentences,topic_switch_rate_mean,topic_switch_rate_std,count
claude45,5.722222222222222,0.28688933402714195,0.2033042959052214,54
gpt4o,5.648148148148148,0.2673544131601003,0.17385628461753136,54
human,5.87037037037037,0.41590354792293976,0.14659095375954267,54
internvl3,5.981481481481482,0.26571572870977284,0.18148735433653737,54
llama4scout,5.703703703703703,0.2501595979696133,0.16895123468496168,54
qwen3vl,5.722222222222222,0.3851181480112749,0.1933898455280299,54
