model,n_sentences,topic_switch_rate_mean,topic_switch_rate_std,count
claude45,5.666666666666667,0.27157516951131216,0.20028302455551794,60
gpt4o,5.6,0.28288621121478774,0.18243229619722298,60
human,5.8,0.42526634214869147,0.14418235035876878,60
internvl3,5.95,0.2708642403701276,0.17831998044913042,60
llama4scout,5.65,0.2587798384197488,0.169815301295826,60
qwen3vl,5.666666666666667,0.3844541817092172,0.18504287553349202,60
