model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
claude45,original,story_13683,2.0,11.0,0.0,0.0,0.17984081852510791
claude45,original,story_1467,4.0,12.0,0.0,0.0,0.32151273753163434
claude45,original,story_2400,4.0,10.0,0.0,0.0,0.3799489622552249
claude45,original,story_2702,3.0,9.0,0.0,0.0,0.32151273753163434
claude45,original,story_2722,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_2926,3.0,7.0,0.0,0.0,0.4041267397578591
claude45,original,story_3230,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_3295,2.0,8.0,0.0,0.0,0.24491866240370913
claude45,original,story_345,4.0,11.0,0.0,0.0,0.34841301253861207
claude45,original,story_3761,4.0,13.0,0.0,0.0,0.29833624997754543
claude45,original,story_3891,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,original,story_4047,3.0,19.0,0.0,0.0,0.1565955465920634
claude45,original,story_4173,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_4797,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,original,story_5047,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_5062,3.0,15.0,0.0,0.0,0.197375320224904
claude45,original,story_515,2.0,8.0,0.0,0.0,0.24491866240370913
claude45,original,story_5201,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,original,story_5265,1.0,5.0,0.0,0.0,0.197375320224904
claude45,original,story_5349,3.0,14.0,0.0,0.0,0.21106497444117137
claude45,original,story_5540,3.0,13.0,0.0,0.0,0.22675815692505177
claude45,original,story_5721,2.0,11.0,0.0,0.0,0.17984081852510791
claude45,original,story_6111,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_6215,3.0,13.0,0.0,0.0,0.22675815692505177
claude45,original,story_6729,3.0,15.0,0.0,0.0,0.197375320224904
claude45,original,story_6847,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,original,story_6878,4.0,13.0,0.0,0.0,0.29833624997754543
claude45,original,story_6921,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_7065,4.0,10.0,0.0,0.0,0.3799489622552249
claude45,original,story_7150,3.0,10.0,0.0,0.0,0.2913126124515909
claude45,original,story_7195,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,original,story_721,3.0,6.0,0.0,0.0,0.46211715726000974
claude45,original,story_723,4.0,15.0,0.0,0.0,0.2605204458355026
claude45,original,story_733,3.0,12.0,0.0,0.0,0.24491866240370913
claude45,original,story_7596,3.0,13.0,0.0,0.0,0.22675815692505177
claude45,original,story_7702,3.0,14.0,0.0,0.0,0.21106497444117137
claude45,original,story_8061,3.0,14.0,0.0,0.0,0.21106497444117137
claude45,original,story_8085,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,original,story_8154,3.0,8.0,0.0,0.0,0.35835739835078595
claude45,original,story_8551,3.0,13.0,0.0,0.0,0.22675815692505177
claude45,original,story_9334,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,original,story_9418,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,story_948,3.0,11.0,0.0,0.0,0.26616073850966504
claude45,original,story_9914,3.0,5.0,0.0,0.0,0.5370495669980352
gpt4o,large,story_10408,3.0,7.0,0.0,0.0,0.4041267397578591
gpt4o,large,story_10486,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,story_10499,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_1111,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_11260,3.0,10.0,0.0,0.0,0.2913126124515909
gpt4o,large,story_11340,4.0,9.0,0.0,0.0,0.4173216500588711
gpt4o,large,story_11457,2.0,8.0,0.0,0.0,0.24491866240370913
gpt4o,large,story_11541,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,story_11543,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_11678,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_11719,3.0,6.0,0.0,0.0,0.46211715726000974
gpt4o,large,story_1201,3.0,7.0,0.0,0.0,0.4041267397578591
gpt4o,large,story_1214,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,large,story_12358,3.0,9.0,0.0,0.0,0.32151273753163434
