model,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity_mean,discourse_diversity_std,count
claude45,2.1333333333333333,4.666666666666667,0.0,0.0,0.43406272886623304,0.13191606485559348,60
gpt4o,2.0166666666666666,4.6,0.0,0.0,0.41227342654380017,0.14980178804674021,60
human,2.4,4.783333333333333,0.0,0.0,0.4625332014799918,0.14598087587448982,60
internvl3,1.8333333333333333,4.95,0.0,0.0,0.35253834586801874,0.14960522564571546,60
llama4scout,1.9166666666666667,4.65,0.0,0.0,0.3917484434297289,0.1516682219677532,60
qwen3vl,1.7,4.666666666666667,0.0,0.0,0.3528922017761768,0.14557056439920021,60
