model,prompt,seed,doc,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
claude45,original,,story_4797,3,4,0,0.0,0.6351489523872873
claude45,original,,story_5047,2,4,0,0.0,0.46211715726000974
claude45,original,,story_5062,2,4,0,0.0,0.46211715726000974
claude45,original,,story_515,2,8,0,0.0,0.24491866240370913
claude45,original,,story_5201,3,8,0,0.0,0.35835739835078595
claude45,original,,story_5265,1,4,0,0.0,0.24491866240370913
claude45,original,,story_5349,2,4,0,0.0,0.46211715726000974
claude45,original,,story_5540,3,4,0,0.0,0.6351489523872873
claude45,original,,story_5721,1,4,0,0.0,0.24491866240370913
claude45,original,,story_6111,2,4,0,0.0,0.46211715726000974
claude45,original,,story_6215,3,6,0,0.0,0.46211715726000974
claude45,original,,story_6729,2,8,0,0.0,0.24491866240370913
claude45,original,,story_6847,1,4,0,0.0,0.24491866240370913
claude45,original,,story_6878,2,4,0,0.0,0.46211715726000974
claude45,original,,story_6921,2,6,0,0.0,0.32151273753163434
claude45,original,,story_7065,3,4,0,0.0,0.6351489523872873
claude45,original,,story_7150,3,4,0,0.0,0.6351489523872873
claude45,original,,story_7195,1,4,0,0.0,0.24491866240370913
claude45,original,,story_721,3,4,0,0.0,0.6351489523872873
claude45,original,,story_723,2,6,0,0.0,0.32151273753163434
claude45,original,,story_733,3,5,0,0.0,0.5370495669980352
claude45,original,,story_7596,2,5,0,0.0,0.3799489622552249
claude45,original,,story_7702,3,6,0,0.0,0.46211715726000974
claude45,original,,story_8061,3,7,0,0.0,0.4041267397578591
claude45,original,,story_8085,2,5,0,0.0,0.3799489622552249
claude45,original,,story_8154,1,4,0,0.0,0.24491866240370913
claude45,original,,story_8551,2,6,0,0.0,0.32151273753163434
claude45,original,,story_9334,2,5,0,0.0,0.3799489622552249
claude45,original,,story_9418,2,5,0,0.0,0.3799489622552249
claude45,original,,story_948,3,4,0,0.0,0.6351489523872873
claude45,original,,story_9914,2,2,0,0.0,0.7615941559557649
gpt4o,large,,story_10408,2,5,0,0.0,0.3799489622552249
gpt4o,large,,story_10486,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_10499,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_1111,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_11260,3,4,0,0.0,0.6351489523872873
gpt4o,large,,story_11340,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_11457,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_11541,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_11543,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_11678,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_11719,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_1201,3,4,0,0.0,0.6351489523872873
gpt4o,large,,story_1214,1,5,0,0.0,0.197375320224904
gpt4o,large,,story_12358,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_12423,2,5,0,0.0,0.3799489622552249
gpt4o,large,,story_13596,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_13683,2,5,0,0.0,0.3799489622552249
gpt4o,large,,story_1467,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_2400,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_2702,1,5,0,0.0,0.197375320224904
gpt4o,large,,story_2722,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_2926,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_3230,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_3295,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_345,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_3761,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_3891,3,4,0,0.0,0.6351489523872873
gpt4o,large,,story_4047,2,7,0,0.0,0.27818549032570244
gpt4o,large,,story_4173,2,7,0,0.0,0.27818549032570244
gpt4o,large,,story_4797,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_5047,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_5062,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_515,3,8,0,0.0,0.35835739835078595
gpt4o,large,,story_5201,3,8,0,0.0,0.35835739835078595
gpt4o,large,,story_5265,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_5349,3,5,0,0.0,0.5370495669980352
gpt4o,large,,story_5540,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_5721,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_6111,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_6215,1,6,0,0.0,0.16514041292462933
gpt4o,large,,story_6729,2,8,0,0.0,0.24491866240370913
gpt4o,large,,story_6847,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_6878,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_6921,1,6,0,0.0,0.16514041292462933
gpt4o,large,,story_7065,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_7150,3,4,0,0.0,0.6351489523872873
gpt4o,large,,story_7195,1,4,0,0.0,0.24491866240370913
gpt4o,large,,story_721,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_723,2,8,0,0.0,0.24491866240370913
gpt4o,large,,story_733,1,5,0,0.0,0.197375320224904
gpt4o,large,,story_7596,1,5,0,0.0,0.197375320224904
gpt4o,large,,story_7702,3,4,0,0.0,0.6351489523872873
gpt4o,large,,story_8061,2,7,0,0.0,0.27818549032570244
gpt4o,large,,story_8085,2,5,0,0.0,0.3799489622552249
gpt4o,large,,story_8154,1,5,0,0.0,0.197375320224904
gpt4o,large,,story_8551,2,6,0,0.0,0.32151273753163434
gpt4o,large,,story_9334,1,5,0,0.0,0.197375320224904
gpt4o,large,,story_9418,2,5,0,0.0,0.3799489622552249
gpt4o,large,,story_948,2,4,0,0.0,0.46211715726000974
gpt4o,large,,story_9914,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_10408,3,5,0,0.0,0.5370495669980352
gpt4o,original,,story_10486,3,5,0,0.0,0.5370495669980352
gpt4o,original,,story_10499,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_1111,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_11260,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_11340,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_11457,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_11541,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_11543,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_11678,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_11719,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_1201,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_1214,1,5,0,0.0,0.197375320224904
gpt4o,original,,story_12358,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_12423,2,5,0,0.0,0.3799489622552249
gpt4o,original,,story_13596,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_13683,3,5,0,0.0,0.5370495669980352
gpt4o,original,,story_1467,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_2400,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_2702,2,5,0,0.0,0.3799489622552249
gpt4o,original,,story_2722,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_2926,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_3230,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_3295,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_345,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_3761,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_3891,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_4047,2,7,0,0.0,0.27818549032570244
gpt4o,original,,story_4173,1,6,0,0.0,0.16514041292462933
gpt4o,original,,story_4797,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_5047,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_5062,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_515,2,5,0,0.0,0.3799489622552249
gpt4o,original,,story_5201,2,8,0,0.0,0.24491866240370913
gpt4o,original,,story_5265,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_5349,3,5,0,0.0,0.5370495669980352
gpt4o,original,,story_5540,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_5721,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_6111,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_6215,1,6,0,0.0,0.16514041292462933
gpt4o,original,,story_6729,3,7,0,0.0,0.4041267397578591
gpt4o,original,,story_6847,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_6878,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_6921,1,6,0,0.0,0.16514041292462933
gpt4o,original,,story_7065,1,4,0,0.0,0.24491866240370913
gpt4o,original,,story_7150,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_7195,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_721,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_723,3,8,0,0.0,0.35835739835078595
gpt4o,original,,story_733,3,5,0,0.0,0.5370495669980352
gpt4o,original,,story_7596,1,5,0,0.0,0.197375320224904
gpt4o,original,,story_7702,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_8061,2,4,0,0.0,0.46211715726000974
gpt4o,original,,story_8085,1,5,0,0.0,0.197375320224904
gpt4o,original,,story_8154,2,5,0,0.0,0.3799489622552249
gpt4o,original,,story_8551,3,6,0,0.0,0.46211715726000974
gpt4o,original,,story_9334,1,5,0,0.0,0.197375320224904
gpt4o,original,,story_9418,2,5,0,0.0,0.3799489622552249
gpt4o,original,,story_948,3,4,0,0.0,0.6351489523872873
gpt4o,original,,story_9914,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_10408,2,5,0,0.0,0.3799489622552249
