model,n,t_stat,p_value
claude45,60,1.1938100436126708,0.23733027010677463
gpt4o,60,1.948271195991836,0.056144092141418404
internvl3,60,4.32732554040817,5.916398584668786e-05
llama4scout,60,2.633036056182646,0.010786906741331865
qwen3vl,60,4.500209075370012,3.24738145422547e-05
