model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
claude45,original,7065,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,7150,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,721,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,723,2.0,6.0,0.0,0.0,0.32151273753163434
claude45,original,733,3.0,5.0,0.0,0.0,0.5370495669980352
claude45,original,7596,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,7702,3.0,6.0,0.0,0.0,0.46211715726000974
claude45,original,8061,3.0,7.0,0.0,0.0,0.4041267397578591
claude45,original,8085,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,8154,1.0,4.0,0.0,0.0,0.24491866240370913
claude45,original,8551,2.0,6.0,0.0,0.0,0.32151273753163434
claude45,original,9334,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,9418,2.0,5.0,0.0,0.0,0.3799489622552249
claude45,original,948,3.0,4.0,0.0,0.0,0.6351489523872873
claude45,original,9914,2.0,2.0,0.0,0.0,0.7615941559557649
gpt4o,large,10408,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,large,10486,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,1111,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,11260,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,large,11340,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,11457,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,11541,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,11543,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,11678,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,11719,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,1201,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,large,12358,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,12423,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,large,13596,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,13683,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,large,1467,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,2400,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,2702,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,large,2722,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,2926,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,3230,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,3295,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,345,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,3891,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,large,4047,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,large,4173,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,large,4797,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,5062,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,515,3.0,8.0,0.0,0.0,0.35835739835078595
gpt4o,large,5201,3.0,8.0,0.0,0.0,0.35835739835078595
gpt4o,large,5265,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,5349,3.0,5.0,0.0,0.0,0.5370495669980352
gpt4o,large,5721,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,6111,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,6215,1.0,6.0,0.0,0.0,0.16514041292462933
gpt4o,large,6729,2.0,8.0,0.0,0.0,0.24491866240370913
gpt4o,large,6847,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,6878,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,6921,1.0,6.0,0.0,0.0,0.16514041292462933
gpt4o,large,7065,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,large,7150,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,large,721,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,723,2.0,8.0,0.0,0.0,0.24491866240370913
gpt4o,large,733,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,large,7596,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,large,7702,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,large,8061,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,large,8085,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,large,8154,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,large,8551,2.0,6.0,0.0,0.0,0.32151273753163434
gpt4o,large,9334,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,large,9418,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,large,948,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,large,9914,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,10408,3.0,5.0,0.0,0.0,0.5370495669980352
gpt4o,original,10486,3.0,5.0,0.0,0.0,0.5370495669980352
gpt4o,original,1111,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,11260,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,11340,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,11457,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,11541,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,11543,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,11678,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,11719,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,1201,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,12358,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,12423,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,original,13596,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,13683,3.0,5.0,0.0,0.0,0.5370495669980352
gpt4o,original,1467,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,2400,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,2702,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,original,2722,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,2926,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,3230,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,3295,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,345,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,3891,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,4047,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,original,4173,1.0,6.0,0.0,0.0,0.16514041292462933
gpt4o,original,4797,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,5062,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,515,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,original,5201,2.0,8.0,0.0,0.0,0.24491866240370913
gpt4o,original,5265,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,5349,3.0,5.0,0.0,0.0,0.5370495669980352
gpt4o,original,5721,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,6111,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,6215,1.0,6.0,0.0,0.0,0.16514041292462933
gpt4o,original,6729,3.0,7.0,0.0,0.0,0.4041267397578591
gpt4o,original,6847,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,6878,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,6921,1.0,6.0,0.0,0.0,0.16514041292462933
gpt4o,original,7065,1.0,4.0,0.0,0.0,0.24491866240370913
gpt4o,original,7150,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,721,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,723,3.0,8.0,0.0,0.0,0.35835739835078595
gpt4o,original,733,3.0,5.0,0.0,0.0,0.5370495669980352
gpt4o,original,7596,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,original,7702,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,8061,2.0,4.0,0.0,0.0,0.46211715726000974
gpt4o,original,8085,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,original,8154,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,original,8551,3.0,6.0,0.0,0.0,0.46211715726000974
gpt4o,original,9334,1.0,5.0,0.0,0.0,0.197375320224904
gpt4o,original,9418,2.0,5.0,0.0,0.0,0.3799489622552249
gpt4o,original,948,3.0,4.0,0.0,0.0,0.6351489523872873
gpt4o,original,9914,2.0,4.0,0.0,0.0,0.46211715726000974
human,large,10408,2.3333333333333335,4.666666666666667,0.0,0.0,0.4597052288377566
human,large,10486,3.0,5.0,0.0,0.0,0.5370495669980352
human,large,1111,1.3333333333333333,4.0,0.0,0.0,0.31731816068914265
human,large,11260,1.3333333333333333,4.0,0.0,0.0,0.31731816068914265
human,large,11340,1.6666666666666667,4.0,0.0,0.0,0.3749954257315686
human,large,11457,2.6666666666666665,4.0,0.0,0.0,0.5774716873448614
human,large,11541,2.3333333333333335,4.0,0.0,0.0,0.48954332520649463
human,large,11543,1.6666666666666667,4.0,0.0,0.0,0.38971765897457616
human,large,11678,2.0,4.0,0.0,0.0,0.46211715726000974
human,large,11719,1.3333333333333333,4.0,0.0,0.0,0.31731816068914265
human,large,1201,2.6666666666666665,4.0,0.0,0.0,0.5774716873448614
human,large,12358,2.0,4.0,0.0,0.0,0.46211715726000974
human,large,12423,1.6666666666666667,5.0,0.0,0.0,0.31060006914928107
human,large,13596,1.3333333333333333,4.0,0.0,0.0,0.31731816068914265
human,large,13683,1.6666666666666667,5.0,0.0,0.0,0.3190910815784513
human,large,1467,2.0,4.0,0.0,0.0,0.4473949240170021
human,large,2400,3.0,4.0,0.0,0.0,0.619620088534354
human,large,2702,1.0,5.0,0.0,0.0,0.197375320224904
human,large,2722,1.0,4.0,0.0,0.0,0.2449186624037091
human,large,2926,1.6666666666666667,4.0,0.0,0.0,0.3749954257315686
human,large,3230,2.6666666666666665,4.0,0.0,0.0,0.5619428234919281
human,large,3295,1.3333333333333333,4.0,0.0,0.0,0.31731816068914265
human,large,345,1.0,4.0,0.0,0.0,0.2449186624037091
human,large,3891,1.6666666666666667,4.0,0.0,0.0,0.38971765897457616
human,large,4047,2.6666666666666665,7.0,0.0,0.0,0.3575928786121949
human,large,4173,2.3333333333333335,7.0,0.0,0.0,0.320165906803088
human,large,4797,2.6666666666666665,4.0,0.0,0.0,0.5774716873448614
human,large,5062,3.0,4.0,0.0,0.0,0.619620088534354
human,large,515,2.0,8.0,0.0,0.0,0.24254302084203042
human,large,5201,3.6666666666666665,8.0,0.0,0.0,0.4205451806710337
human,large,5265,1.6666666666666667,4.0,0.0,0.0,0.38971765897457616
human,large,5349,2.3333333333333335,4.666666666666667,0.0,0.0,0.4597052288377566
