model,n,t_stat,p_value
claude45,54,0.6934598472224922,0.49104907115723523
gpt4o,54,1.3830705774702787,0.1724423673517421
internvl3,54,3.557029150055689,0.0007997639060190963
llama4scout,54,2.2784483630328105,0.02675708067463081
qwen3vl,54,4.222279205141635,9.533296954360931e-05
