model,n,t_stat,p_value
claude45,54,-0.31088478839608896,0.7571076383614782
gpt4o,54,1.6467304585264928,0.1055309977459211
internvl3,54,2.9972079700869187,0.004139827424203177
llama4scout,54,2.1418107259472383,0.03682329701729146
qwen3vl,54,0.7330522186827626,0.466756585818626
