model,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity_mean,discourse_diversity_std,count
claude45,2.1666666666666665,4.722222222222222,0.0,0.0,0.43730729959266723,0.13100853668336895,54
gpt4o,2.0555555555555554,4.648148148148148,0.0,0.0,0.4156600552029511,0.15291187643281923,54
human,2.388888888888889,4.851851851851852,0.0,0.0,0.45448818434930377,0.14778939961041296,54
internvl3,1.8703703703703705,4.981481481481482,0.0,0.0,0.356950146899604,0.15343110161834675,54
llama4scout,1.9259259259259258,4.703703703703703,0.0,0.0,0.3902914268854404,0.15324616839717564,54
qwen3vl,1.6666666666666667,4.722222222222222,0.0,0.0,0.34391353254580337,0.1407920182102019,54
