model,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity_mean,discourse_diversity_std,count
claude45,2.1296296296296298,4.814814814814815,0.0,0.0,0.4195467863282392,0.1351112993732289,54
gpt4o,1.8703703703703705,4.777777777777778,0.0,0.0,0.37951871003022175,0.13472792559281552,54
human,2.117283950617284,4.7592592592592595,0.0,0.0,0.41167207243899967,0.11524135079728336,54
internvl3,1.7777777777777777,5.111111111111111,0.0,0.0,0.3430286002525882,0.1502188948141247,54
llama4scout,1.9814814814814814,5.407407407407407,0.0,0.0,0.35803425019329177,0.131741169559717,54
qwen3vl,1.962962962962963,4.777777777777778,0.0,0.0,0.3975147659781694,0.1331131780644567,54
