model,n,gap_short_mean,gap_long_mean,did_mean,t_stat,p_value
claude45,54,0.0852939520867787,0.11145519590791052,-0.026161243821131823,-0.8512929969791085,0.39843664904939863
gpt4o,54,0.05667736926518457,0.03933469543908764,0.01734267382609694,0.5977149085128665,0.5525756548262076
internvl3,54,0.07016207212167105,0.10941748125835211,-0.03925540913668105,-1.3239092074471952,0.19121504436595482
llama4scout,54,0.31564862653527553,0.20287888052723788,0.1127697460080377,2.497468959029764,0.0156484796368696
qwen3vl,54,0.049710826168927476,0.10321950496864651,-0.053508678799719,-1.6225398123556274,0.11062200748352127
