model,n,gap_short_mean,gap_long_mean,did_mean,t_stat,p_value
claude45,54,0.08269850778862715,0.06772548828041278,0.014973019508214403,0.8550570161966289,0.3963684428735136
gpt4o,54,0.049031623498757865,0.011076991940758122,0.03795463155799973,1.8232936195244318,0.07390062184964871
internvl3,54,0.06905876155125884,0.07364802591885587,-0.004589264367597041,-0.23534227837529162,0.8148500622275839
llama4scout,54,0.1835668763408934,0.093953806792187,0.08961306954870639,2.852063401942855,0.006179599589039351
qwen3vl,54,0.05295489653512532,0.06414718734865245,-0.011192290813527125,-0.5414377796647504,0.5904747284622862
