model,prompt,n_stories,ncs_arithmetic_mean,ncs_arithmetic_std,ncs_geometric_mean,ncs_geometric_std
claude45,large,54,0.40815324352850046,0.12135626323360153,0.26186622794733866,0.21095451874401167
gpt4o,large,54,0.46480173986815515,0.11158987314114878,0.33398672841616156,0.20516108423827695
human,large,54,0.47587873180891327,0.10749026660015908,0.37332142385524913,0.20427116831728703
internvl3,large,54,0.4022307058900574,0.12826620067700145,0.26390394259689703,0.1976056453925896
llama4scout,large,54,0.38192492501672626,0.14182112810174216,0.17044254332801134,0.23787715378384358
qwen3vl,large,54,0.4117315444602608,0.10983868212704419,0.2701019188866027,0.2008561470110174
