model,prompt,story_id,coref_ratio,discourse_diversity,char_coherence,topic_switch_rate,mci_tanh_mcc_over_gv,ncs_arithmetic,ncs_geometric
human,large,345,0.5811470111353348,0.2449186624037091,0.6882472463879294,0.1051774942490314,0.7243458782314042,0.4687672584814818,0.3754777894520744
human,large,515,0.5274517139168332,0.2425430208420304,0.4785100302087799,0.2397800962719258,0.7076779244407397,0.4391925571360618,0.401145823336228
human,large,721,0.5848331168744644,0.3897176589745761,0.3226828455508984,0.4484531687539171,0.8033841834986294,0.509814194730497,0.48377081915703357
human,large,723,0.9248131288350354,0.346075844744402,0.7615941517560215,0.3314383762749529,0.6308359300928031,0.598951486340643,0.5513833228258701
human,large,733,0.9687040240090824,0.3714579498260547,0.6867459554135372,0.2604527835774474,0.9373050263254152,0.6449331478303074,0.5702973754306926
human,large,948,0.7208158247905398,0.5197944223024357,0.4912290187802275,0.3922425981392671,0.6522259042035662,0.5552615536432073,0.5427234120948102
human,large,1111,0.8526644737740541,0.3173181606891426,0.0,0.3934049177048292,0.0,0.3126775104336052,0.00040310908138911324
human,large,1201,0.6182977950272855,0.5774716873448614,0.0,0.3896760277727486,0.0,0.3170891020289791,0.0004252912247933778
human,large,1467,0.542264793628417,0.4473949240170021,0.3074501719098332,0.3023373594603278,0.9693288895070284,0.5137552277045216,0.4655089603265995
human,large,2400,0.771718427086929,0.619620088534354,0.3727526625993582,0.4178623964613472,0.7768860304787889,0.5917679210321555,0.5655606064320414
human,large,2702,0.9003533955888982,0.197375320224904,0.4420267402195835,0.0305746722152534,0.4300882915055637,0.40008368395084054,0.2528219653494572
human,large,2722,0.7243512747604178,0.2449186624037091,0.0,0.3591606478431952,0.0,0.26568611700146444,0.0003637910228758308
human,large,2926,0.6418754051477388,0.3749954257315686,0.3327205539498398,0.3436009151249583,0.5887209770562126,0.45638265540206363,0.4384338143934596
human,large,3230,0.6665730631419278,0.5619428234919281,0.4343825291359223,0.3877995867497535,0.3444926955323398,0.47903813961037434,0.46498605572648044
human,large,3295,0.75895949078752,0.3173181606891426,0.533760987438581,0.4391896245430038,0.5265177571592489,0.5151492041234993,0.495022681657132
human,large,3891,0.7239408488995004,0.3897176589745761,0.3059278231211406,0.2506017605754368,0.5502532873872378,0.4440882757915784,0.41221500161447755
human,large,4047,0.5827406410118933,0.3575928786121949,0.0,0.4853940379003688,0.0,0.2851455115048914,0.00039901730125920193
human,large,4173,0.6441090979268995,0.320165906803088,0.2217843819094505,0.5376169518838617,0.42290529022155,0.42931632574896994,0.4012327011063059
human,large,4797,0.5398819634405915,0.5774716873448614,0.1269323565261319,0.1744522508006978,0.4780707800660361,0.3793618076356638,0.3189437849626019
human,large,5062,0.9231629343686354,0.619620088534354,0.0,0.3312741905235826,0.0,0.37481144268531436,0.0004523955193812179
human,large,5201,0.6432455956028539,0.4205451806710337,0.3386805828396155,0.4038615901304185,0.945554058933028,0.55037740163539,0.511422402305477
human,large,5265,0.9431870191383988,0.3897176589745761,0.5884215823450512,0.376381176905587,0.2800864487644081,0.5155587772256042,0.4694521229769786
human,large,5349,0.7955780711207648,0.4597052288377566,0.6979866154023862,0.611719747122803,0.7393297088953369,0.6608638742758095,0.6493517375079675
human,large,5721,0.5152671288693879,0.619620088534354,0.0,0.221862494928057,0.0,0.2713499424663598,0.0003715766123406614
human,large,6111,0.6240699016982687,0.505072189059428,0.424541376818546,0.5255596779353404,0.8301069286697401,0.5818700148362647,0.5665686846895724
human,large,6215,0.6228332071839447,0.4356874151103726,0.5473248556316055,0.4809807516559189,0.7189986584854721,0.5611649776134627,0.5522421517650767
human,large,6729,0.3158415053959578,0.485207835999361,0.052241991930475,0.3810192740057333,0.8041428941957715,0.4076907003054597,0.3005656917263546
human,large,6847,0.7699521923337537,0.4473949240170021,0.4588314972808609,0.0303242539548112,0.6927472888362542,0.47985003128453646,0.31932625958222083
human,large,6878,0.8745236766380317,0.2449186624037091,0.1903985379390053,0.3284127897264693,0.5953641837530873,0.44672357009206054,0.3804801275370992
human,large,6921,0.7506325203288301,0.2172645211269643,0.3059348438376029,0.5201875926030073,0.9138136825815696,0.5415666320955947,0.4731649495030046
human,large,7065,0.7581681827724776,0.3897176589745761,0.6383344156497452,0.3555239068720696,0.9510359174211253,0.6185560163379987,0.5766681079443187
human,large,7150,0.5708506023701704,0.5774716873448614,0.5077294313930932,0.5155943832107458,0.6170381052349018,0.5577368419107545,0.5562386214149783
human,large,7596,0.7379781442443928,0.2582332009016776,0.4963263627392634,0.2956151025000328,0.8581373431896876,0.5292580307150108,0.4742652215931986
human,large,7702,0.7211544611139001,0.4621171572600097,0.7615941489561926,0.1546824885310101,0.6099419557362923,0.541898042319481,0.4740746577746384
human,large,8061,0.8737893995364044,0.3864590646400581,0.4237556072475225,0.4225490495816008,0.8147059083214977,0.5842518058654166,0.547647050549483
human,large,8085,0.5225121441467421,0.4137870175826593,0.4620244460008246,0.3238895833206899,0.4735952902506377,0.43916169626031076,0.4335792823043106
human,large,8154,0.510931120649082,0.3190910815784513,0.5930479736651034,0.5505372415477393,0.7592382849433278,0.5465691404767408,0.5263884346051826
human,large,8551,0.5191232849594513,0.4765806992993899,0.0,0.6105057668855758,0.0,0.32124195022888336,0.00043233396008400706
human,large,9334,0.6497441472929102,0.310600069149281,0.7615941517560215,0.1631247762916105,0.703148106709747,0.5176422502399141,0.4459096436941822
human,large,9418,0.7037112653974015,0.4041577449558054,0.5847629913686183,0.384793731901821,0.7829315867325606,0.5720714640712414,0.5495097804529748
human,large,9914,0.6489044111719074,0.6351489523872873,0.5711956106672086,0.087837805431759,0.4505058171475258,0.4787185193611377,0.3925044878819804
human,large,10408,0.5950030102798505,0.4597052288377566,0.5733550806373102,0.4142954814481571,0.8253065206963954,0.5735330643798939,0.5570184199083499
human,large,10486,0.597914064377961,0.5370495669980352,0.2423413473816345,0.2772753922645278,0.6775683285314771,0.4664297399107271,0.42952557500623
human,large,11260,0.7995749333692,0.3173181606891426,0.7615941514449295,0.1327337216978546,0.891748972147406,0.5805939878697066,0.4697430141228619
human,large,11340,0.617739737788901,0.3749954257315686,0.7615941512893833,0.3043139042896075,0.610960158255537,0.5339206754709995,0.5048681436670575
