model,prompt,n_stories,ncs_arithmetic_mean,ncs_arithmetic_std,ncs_geometric_mean,ncs_geometric_std
claude45,original,54,0.4208998090533135,0.11581590433288001,0.2869685616135608,0.20918668687180159
gpt4o,original,54,0.4545666933431828,0.11358119965316793,0.3155851444351549,0.20070833644979807
human,original,54,0.5035983168419407,0.14306521337345773,0.3722625137003395,0.26204529315794006
internvl3,original,54,0.43453955529068183,0.11978525200734472,0.30210044157866844,0.1980241346177018
llama4scout,original,54,0.3200314405010473,0.09720983546535795,0.056613887165063985,0.14781408624516063
qwen3vl,original,54,0.4506434203068153,0.10879639310152207,0.32255168753141206,0.2123531082694127
