model,prompt,n_stories,ncs_arithmetic_mean,ncs_arithmetic_std,ncs_geometric_mean,ncs_geometric_std
claude45,original,60,0.412596214751054,0.11840024761771706,0.27264166310990023,0.21222630769034923
gpt4o,original,60,0.45428955073476146,0.11587687933334516,0.316607292005406,0.20504059967722707
human,original,60,0.4999443517982448,0.14296934557144986,0.36371099233522464,0.26612752327085304
internvl3,original,60,0.4319628345488336,0.12595233909150985,0.3039760083011775,0.2025330185783402
llama4scout,original,60,0.3221284813537928,0.0998672198941345,0.059709934444011244,0.15356063866329142
qwen3vl,original,60,0.44775197462638683,0.11122863977733571,0.315688168293345,0.21781521720497718
