model,prompt,story_id,character_name,CharTr,CharRe,char_coherence
human,large,515,bradley,0.16666666666666666,0.375,0.09258169547109858
human,large,515,christian,0.6666666666666666,0.9166666666666666,0.5348899481777886
human,large,515,shea,0.5,0.9166666666666666,0.42068178257569766
human,large,721,denzel,0.4166666666666667,0.5833333333333334,0.25648485547041044
human,large,721,gary,0.08333333333333333,0.25,0.06177773330271317
human,large,721,mila,0.125,0.375,0.09266659995406976
human,large,721,tom,0.16666666666666666,0.3333333333333333,0.08258398221855068
human,large,723,james,1.0,1.0,0.7615941559557649
human,large,733,gary,0.8666666666666667,1.0,0.6867459596365216
human,large,733,jennifer,0.8666666666666667,1.0,0.6867459596365216
human,large,948,benjamin,0.5,0.5,0.24491866240370913
human,large,948,ksenia,0.0,0.0,0.0
human,large,948,natalie,0.8333333333333334,1.0,0.6617684897238465
human,large,948,vincent,0.5,0.75,0.34758158682169804
human,large,1111,__NO_ANNOTATION__,,,
human,large,1201,__NO_ANNOTATION__,,,
human,large,1214,__NO_CHARACTER_MATCH__,,,
human,large,1214,jack,0.7,1.0,0.5707715591054949
human,large,1467,__NO_CHARACTER_MATCH__,,,
human,large,1467,anthony,0.625,0.625,0.37737431806948285
human,large,1467,rosario,0.125,0.375,0.09266659995406976
human,large,2400,__NO_CHARACTER_MATCH__,,,
human,large,2400,audrey,0.375,0.625,0.21512593115592432
human,large,2400,cary,0.375,0.625,0.21512593115592432
human,large,2400,george,0.75,1.0,0.6118556566078873
human,large,2400,jacques,0.5,0.75,0.34758158682169804
human,large,2400,ned,0.0,0.0,0.0
human,large,2702,ben,0.8000000000000002,0.8000000000000002,0.5648995528462251
human,large,2702,cameron,0.1,0.4,0.07932425214874947
human,large,2722,__NO_ANNOTATION__,,,
human,large,2926,charles,0.0,0.375,0.0
human,large,2926,jeff,0.5833333333333334,0.9166666666666666,0.4780214294184253
human,large,2926,jim,0.8333333333333334,1.0,0.6617684897238465
human,large,2926,karen,0.08333333333333333,0.25,0.06177773330271317
human,large,3230,__NO_CHARACTER_MATCH__,,,
human,large,3230,jean,0.5,0.75,0.34758158682169804
human,large,3230,tom,0.625,0.625,0.41200645135163866
human,large,3295,__NO_CHARACTER_MATCH__,,,
human,large,3295,dane,1.0,1.0,0.7615941559557649
human,large,3295,demi,0.5,0.75,0.35351790983185943
human,large,3295,ruben,0.5,0.5,0.24491866240370913
human,large,3761,jeff,0.8333333333333334,1.0,0.6617684897238465
human,large,3761,jim,0.8333333333333334,1.0,0.6617684897238465
human,large,3891,robert,0.0,0.0,0.0
human,large,3891,val,0.375,0.625,0.26226795200376113
human,large,4047,__NO_ANNOTATION__,,,
human,large,4173,__NO_CHARACTER_MATCH__,,,
human,large,4173,heath,0.07142857142857142,0.7857142857142857,0.060920318979459855
human,large,4173,mel,0.5714285714285714,0.8571428571428571,0.4540544406412981
human,large,4797,__NO_CHARACTER_MATCH__,,,
human,large,4797,rene,0.125,0.125,0.031209373373756257
human,large,4797,roger,0.0,0.0,0.0
human,large,5047,__NO_ANNOTATION__,,,
human,large,5062,__NO_ANNOTATION__,,,
human,large,5201,brian,0.2916666666666667,0.5833333333333334,0.2466443074191739
human,large,5201,joan,0.375,0.875,0.30798345242455855
human,large,5201,julia,0.3333333333333333,0.5833333333333334,0.1964361290451737
human,large,5201,matt,0.4583333333333333,0.7083333333333334,0.3269616087839457
human,large,5201,tom,0.0,0.0,0.0
human,large,5265,amy,0.6666666666666666,1.0,0.5619428234919281
human,large,5265,christian,0.6666666666666666,0.8333333333333334,0.4855857765330536
human,large,5349,james,0.5499999999999999,0.75,0.40132062165283405
human,large,5349,kim,0.75,0.75,0.5285356862196807
human,large,5540,__NO_ANNOTATION__,,,
human,large,5721,__NO_ANNOTATION__,,,
human,large,6111,dexter,0.16666666666666666,0.5,0.0816395541345697
human,large,6111,jason,0.5,1.0,0.4079037710719249
human,large,6111,nick,0.375,0.625,0.26226795200376113
human,large,6215,jason,0.3,0.6555555555555556,0.23454182971448434
human,large,6215,nick,0.3833333333333333,0.3833333333333333,0.1864923348137653
human,large,6729,albert,0.0,0.0,0.0
human,large,6729,frederic,0.08333333333333333,0.16666666666666666,0.04145100059053207
human,large,6729,laurence,0.0,0.3125,0.0
human,large,6729,martin,0.041666666666666664,0.125,0.01561356595754936
human,large,6729,sam,0.0,0.0,0.0
human,large,6847,ben,1.0,1.0,0.7615941559557649
human,large,6847,cameron,0.16666666666666666,0.4166666666666667,0.0816395541345697
human,large,6847,lin,0.16666666666666666,0.5,0.08258398221855068
human,large,6878,__NO_CHARACTER_MATCH__,,,
human,large,6878,robert,0.5,1.0,0.3807970779778824
human,large,6921,jude,0.25,0.9166666666666667,0.23105857863000487
human,large,6921,matt,0.7777777777777778,0.888888888888889,0.5855141088597048
human,large,6921,philip,0.0,0.8333333333333334,0.0
human,large,7065,jude,0.8333333333333334,1.0,0.6617684897238465
