model,prompt,story_id,CharTr,CharRe,char_coherence
gpt4o,large,2400,0.3,0.55,0.1840178374238534
gpt4o,large,2702,0.8,0.8,0.5648995528462251
gpt4o,large,2722,,,
gpt4o,large,2926,0.5,0.5,0.3807970779778824
gpt4o,large,3230,0.5,0.875,0.37737431806948285
gpt4o,large,3295,0.5833333333333334,0.5833333333333334,0.3563105217023288
gpt4o,large,3761,1.0,1.0,0.7615941559557649
gpt4o,large,3891,0.375,0.625,0.26226795200376113
gpt4o,large,4047,,,
gpt4o,large,4173,0.3571428571428571,0.5,0.23722988554597915
gpt4o,large,4797,0.0,0.25,0.0
gpt4o,large,5047,,,
gpt4o,large,5062,,,
gpt4o,large,5201,0.0625,0.53125,0.042839919167091775
gpt4o,large,5265,0.625,0.875,0.48597356549763315
gpt4o,large,5349,0.1,0.1,0.01998934015558179
gpt4o,large,5540,,,
gpt4o,large,5721,,,
gpt4o,large,6111,0.5,0.8333333333333334,0.4079037710719249
gpt4o,large,6215,0.3333333333333333,0.8333333333333333,0.2700739106093778
gpt4o,large,6729,0.025,0.4,0.018695260793845547
gpt4o,large,6847,0.5,0.5,0.27238912762882606
gpt4o,large,6878,0.0,0.5,0.0
gpt4o,large,6921,0.27777777777777773,0.6666666666666666,0.1956765387824845
gpt4o,large,7065,0.75,1.0,0.6118556566078873
gpt4o,large,7150,0.08333333333333333,0.25,0.06177773330271317
gpt4o,large,7195,0.375,0.75,0.25491498686762826
gpt4o,large,7596,0.2,0.8,0.15475346060631925
gpt4o,large,7702,0.125,0.125,0.031209373373756257
gpt4o,large,8061,0.14285714285714285,0.7142857142857143,0.1015764745733727
gpt4o,large,8085,0.15000000000000002,0.35,0.08900595613060074
gpt4o,large,8154,0.4,0.4,0.17222764546783625
gpt4o,large,8551,,,
gpt4o,large,9334,1.0,1.0,0.7615941559557649
gpt4o,large,9418,0.3333333333333333,0.6,0.2821854960702246
gpt4o,large,9914,0.25,0.5,0.23105857863000487
gpt4o,large,10408,0.4000000000000001,0.4000000000000001,0.15864850429749894
gpt4o,large,10486,0.3,0.5,0.2685247834990176
gpt4o,large,10499,0.08333333333333333,0.5,0.06177773330271317
gpt4o,large,11260,0.3333333333333333,0.5,0.1642235363531204
gpt4o,large,11340,0.5,1.0,0.46211715726000974
gpt4o,large,11457,,,
gpt4o,large,11541,,,
gpt4o,large,11543,,,
gpt4o,large,11678,0.375,0.375,0.25491498686762826
gpt4o,large,11719,0.625,0.875,0.48597356549763315
gpt4o,large,12358,,,
gpt4o,large,12423,0.26666666666666666,0.6666666666666666,0.18228697391623538
gpt4o,large,13596,1.0,1.0,0.7615941559557649
gpt4o,large,13683,0.6,0.7,0.39317291735114945
gpt4o,original,345,0.875,0.875,0.6357120648455107
gpt4o,original,515,0.6666666666666666,0.6666666666666666,0.4554907963710512
gpt4o,original,721,0.0625,0.3125,0.015604686686878129
gpt4o,original,723,0.75,1.0,0.6351489523872873
gpt4o,original,733,0.8,1.0,0.6493218614769001
gpt4o,original,948,0.375,0.5,0.2516282045898685
gpt4o,original,1111,,,
gpt4o,original,1201,,,
gpt4o,original,1214,1.0,1.0,0.7615941559557649
gpt4o,original,1467,0.375,0.875,0.25491498686762826
gpt4o,original,2400,0.35,0.35,0.19993345970853496
gpt4o,original,2702,0.8,0.8,0.5648995528462251
gpt4o,original,2722,,,
gpt4o,original,2926,0.5,0.5,0.3807970779778824
gpt4o,original,3230,0.0,0.75,0.0
gpt4o,original,3295,0.5833333333333334,0.5833333333333334,0.3563105217023288
gpt4o,original,3761,1.0,1.0,0.7615941559557649
gpt4o,original,3891,0.25,0.5,0.23105857863000487
gpt4o,original,4047,,,
gpt4o,original,4173,0.4166666666666667,0.8333333333333334,0.30041480134626747
