model,prompt,seed,story_id,character_name,CharTr,CharRe,char_coherence
human,large,seed42,5349,kim,0.25,0.25,0.7615941391567914
human,large,seed42,5265,amy,0.5,1.0,0.46211715332777115
human,large,seed42,5265,christian,0.25,0.75,0.32151273354661414
human,large,seed42,5201,brian,0.625,1.0,0.5545997180217627
human,large,seed42,5201,joan,0.625,0.875,0.6133572553031958
human,large,seed42,5201,julia,0.625,0.625,0.7615941492361754
human,large,seed42,5201,matt,0.5,0.75,0.5827829394780075
human,large,seed42,5062,__NO_ANNOTATION__,,,
human,large,seed42,5047,__NO_ANNOTATION__,,,
human,large,seed42,4797,rene,0.25,0.25,0.7615941391567914
human,large,seed42,4173,heath,0.14285714285714285,0.8571428571428571,0.16514041103321256
human,large,seed42,4173,mel,0.5714285714285714,0.8571428571428571,0.5827829402117454
human,large,seed42,4047,__NO_ANNOTATION__,,,
human,large,seed42,3891,robert,0.0,0.0,0.0
human,large,seed42,3761,jeff,0.5,1.0,0.46211715332777115
human,large,seed42,3761,jim,0.5,1.0,0.46211715332777115
human,large,seed42,3295,__NO_CHARACTER_MATCH__,,,
human,large,seed42,3230,__NO_CHARACTER_MATCH__,,,
human,large,seed42,2926,jeff,0.5,1.0,0.46211715332777115
human,large,seed42,2926,jim,0.5,1.0,0.46211715332777115
human,large,seed42,2926,karen,0.0,0.0,0.0
human,large,seed42,2722,__NO_ANNOTATION__,,,
human,large,seed42,2702,ben,0.8,0.8,0.7615941507060856
human,large,seed42,2702,cameron,0.2,0.8,0.24491865946616273
human,large,seed42,2400,__NO_CHARACTER_MATCH__,,,
human,large,seed42,1467,anthony,0.5,0.5,0.7615941475562781
human,large,seed42,1467,rosario,0.25,0.75,0.32151273354661414
human,large,seed42,1214,jack,0.4,1.0,0.37994895883266977
human,large,seed42,1201,__NO_ANNOTATION__,,,
human,large,seed42,1111,__NO_ANNOTATION__,,,
human,large,seed42,948,benjamin,0.5,0.5,0.7615941475562781
human,large,seed42,948,ksenia,0.0,0.0,0.0
human,large,seed42,948,natalie,1.0,1.0,0.7615941517560215
human,large,seed42,948,vincent,0.25,0.75,0.32151273354661414
human,large,seed42,733,gary,1.0,1.0,0.7615941517560215
human,large,seed42,733,jennifer,1.0,1.0,0.7615941517560215
human,large,seed42,723,james,1.0,1.0,0.7615941517560215
