model,num_chains,avg_chain_size,coref_ratio_mean,coref_ratio_std,count
claude45,6.7407407407407405,4.664059911282133,0.5952879478755086,0.18196703306343984,54
gpt4o,6.0,4.7403292181069965,0.6423510116755126,0.20770061231863143,54
human,3.740740740740741,4.792173721340388,0.7856048236244282,0.18749730939888148,54
internvl3,7.018518518518518,5.237254155309711,0.6301678719514892,0.18171070076251966,54
llama4scout,4.796296296296297,5.3350529100529105,0.7324368046638539,0.23058398896357338,54
qwen3vl,4.648148148148148,4.357164902998236,0.6996004148551062,0.19978062619037334,54
