model,num_chains,avg_chain_size,coref_ratio_mean,coref_ratio_std,count
claude45,6.9,4.607905242905243,0.5827915344811693,0.18100386915912992,60
gpt4o,5.883333333333334,4.729589947089947,0.6479461834413207,0.21023986173596304,60
human,3.8,4.6662896825396825,0.7737251621410373,0.18622773626716313,60
internvl3,7.05,5.263806517556517,0.6312490665209619,0.1823041551753182,60
llama4scout,4.866666666666666,5.42826479076479,0.7300553832349049,0.2338899224169199,60
qwen3vl,4.583333333333333,4.33311507936508,0.7038179303981111,0.2037396654622369,60
