model,prompt,story_id,character_name,tc,ic,mcc_raw_char,MCC_char
human,original,3295,ruben,,1.0,0.0,0.0
human,original,3230,emmanuelle,,,,
human,original,3230,jean,0.5,0.5,1.0,0.7615941559557649
human,original,3230,tom,1.0,1.0,1.0,0.7615941559557649
human,original,3230,ving,,,,
human,original,2926,charles,,1.0,0.0,0.0
human,original,2926,jeff,0.6666666666666666,0.8,0.8666666666666666,0.6996765874203054
human,original,2926,jim,1.0,0.8,0.8,0.664036770267849
human,original,2926,karen,,1.0,0.0,0.0
human,original,2926,teri,,,,
human,original,2722,__NO_ANNOTATION__,,,,
human,original,2702,ben,1.0,0.8,0.8,0.664036770267849
human,original,2702,cameron,,1.0,0.0,0.0
human,original,2702,lin,,,,
human,original,2400,audrey,1.0,1.0,1.0,0.7615941559557649
human,original,2400,cary,1.0,1.0,1.0,0.7615941559557649
human,original,2400,george,0.8,1.0,0.8,0.664036770267849
human,original,2400,jacques,0.75,0.75,1.0,0.7615941559557649
human,original,2400,ned,,1.0,0.0,0.0
human,original,1467,anthony,1.0,1.0,1.0,0.7615941559557649
human,original,1467,rosario,1.0,1.0,1.0,0.7615941559557649
human,original,1214,jack,0.8333333333333334,0.5,0.6666666666666666,0.5827829453479101
human,original,1214,scatman,,,,
human,original,1201,__NO_ANNOTATION__,,,,
human,original,1111,__NO_ANNOTATION__,,,,
human,original,948,benjamin,,0.6,0.0,0.0
human,original,948,ksenia,,1.0,0.0,0.0
human,original,948,natalie,1.0,0.8,0.8,0.664036770267849
human,original,948,vincent,1.0,0.6666666666666666,0.6666666666666666,0.5827829453479101
human,original,733,gary,1.0,0.8333333333333334,0.8333333333333334,0.6822617902381697
human,original,733,jennifer,0.8333333333333334,0.8,0.9666666666666667,0.7472358212839743
human,original,723,james,0.8,0.625,0.825,0.6777821008468294
human,original,721,denzel,1.0,1.0,1.0,0.7615941559557649
human,original,721,gary,,1.0,0.0,0.0
human,original,721,mila,1.0,1.0,1.0,0.7615941559557649
human,original,721,tom,1.0,1.0,1.0,0.7615941559557649
human,original,515,bradley,0.5,0.6666666666666666,0.8333333333333334,0.6822617902381697
human,original,515,christian,0.9,0.875,0.975,0.7508932836251672
human,original,515,shea,1.0,0.625,0.625,0.5545997223493823
human,original,345,connie,0.75,0.8,0.95,0.7397830512740042
human,original,345,john,1.0,1.0,1.0,0.7615941559557649
human,large,345,connie,1.0,0.8000000000000002,0.8000000000000002,0.664036770267849
human,large,345,john,0.9166666666666666,1.0,0.9166666666666666,0.7194457547662724
human,large,515,bradley,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.6159425603113299
human,large,515,christian,0.8472222222222222,0.875,0.8888888888888888,0.7082839742015649
human,large,515,shea,0.7129629629629629,0.625,0.8287037037037037,0.6782003478956401
human,large,721,denzel,0.9333333333333332,1.0,0.9333333333333332,0.7290750273931262
human,large,721,gary,,1.0,0.0,0.0
human,large,721,mila,0.875,1.0,0.5833333333333334,0.4655810361143507
human,large,721,tom,0.9166666666666666,1.0,0.9166666666666666,0.7194457547662724
human,large,723,james,1.0,0.625,0.625,0.5545997223493823
human,large,733,gary,0.9444444444444445,0.8333333333333334,0.888888888888889,0.7087059121440348
human,large,733,jennifer,0.9444444444444445,0.8000000000000002,0.8555555555555556,0.6917697872732241
human,large,948,benjamin,1.0,0.6,0.19999999999999998,0.1790165223326784
human,large,948,ksenia,1.0,1.0,1.0,0.7615941559557649
human,large,948,natalie,0.9333333333333332,0.8000000000000002,0.8666666666666667,0.6965558988304877
human,large,948,vincent,0.875,0.6666666666666666,0.5277777777777778,0.43569987713934627
human,large,1111,__NO_ANNOTATION__,,,,
human,large,1201,__NO_ANNOTATION__,,,,
human,large,1214,jack,0.8333333333333333,0.5,0.4444444444444445,0.3814596491660598
human,large,1214,scatman,,,,
human,large,1467,anthony,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,1467,rosario,0.875,1.0,0.5833333333333334,0.4655810361143507
human,large,2400,audrey,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,2400,cary,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,2400,george,0.9,1.0,0.6,0.47521030874120457
human,large,2400,jacques,1.0,0.75,0.25,0.2117163174624291
human,large,2400,ned,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,2702,ben,1.0,0.8000000000000002,0.8000000000000002,0.664036770267849
human,large,2702,cameron,0.8,1.0,0.5333333333333333,0.43288124098460007
human,large,2702,lin,,,,
human,large,2722,__NO_ANNOTATION__,,,,
human,large,2926,charles,0.75,1.0,0.5,0.4079037710719249
human,large,2926,jeff,0.8,0.8000000000000002,0.6666666666666666,0.5077294373038432
human,large,2926,jim,0.9333333333333332,0.8000000000000002,0.8666666666666667,0.6965558988304877
human,large,2926,karen,0.875,1.0,0.5833333333333334,0.4655810361143507
human,large,2926,teri,,,,
human,large,3230,emmanuelle,,,,
human,large,3230,jean,0.75,0.5,0.5,0.4079037710719249
human,large,3230,tom,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,3230,ving,,,,
human,large,3295,dane,1.0,0.8000000000000002,0.5333333333333333,0.442691180178566
human,large,3295,demi,0.9,1.0,0.6,0.47521030874120457
human,large,3295,ruben,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,3761,jeff,0.9333333333333332,1.0,0.9333333333333332,0.7290750273931262
human,large,3761,jim,1.0,0.8000000000000002,0.5333333333333333,0.442691180178566
human,large,3891,robert,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,3891,val,0.9,1.0,0.6,0.47521030874120457
human,large,4047,__NO_ANNOTATION__,,,,
human,large,4173,heath,0.41666666666666663,1.0,0.27777777777777773,0.261209964930548
human,large,4173,mel,0.8571428571428571,0.75,0.5952380952380952,0.47520137500205334
human,large,4797,rene,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,4797,roger,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,5047,__NO_ANNOTATION__,,,,
human,large,5062,__NO_ANNOTATION__,,,,
human,large,5201,brian,0.7619047619047619,0.2857142857142857,0.5238095238095238,0.46931680196875497
human,large,5201,joan,0.7083333333333334,0.375,0.6666666666666666,0.5814494656953506
human,large,5201,julia,0.7555555555555555,0.6,0.8444444444444444,0.6769293154352175
human,large,5201,matt,0.844047619047619,1.0,0.844047619047619,0.687575014839736
human,large,5201,tom,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,5265,alessandro,,,,
human,large,5265,amy,0.8666666666666667,0.6,0.7333333333333333,0.6217077025112444
human,large,5265,bradley,,,,
human,large,5265,christian,0.9166666666666666,0.5,0.5833333333333334,0.5197944223024357
human,large,5265,louis,,,,
human,large,5349,james,0.8888888888888888,0.6,0.7111111111111111,0.6020811191159744
human,large,5349,kim,1.0,1.0,1.0,0.7615941559557649
human,large,5540,__NO_ANNOTATION__,,,,
human,large,5721,__NO_ANNOTATION__,,,,
human,large,6111,dexter,0.7777777777777777,0.6666666666666666,0.8888888888888888,0.70199041908648
human,large,6111,jason,0.7333333333333334,0.6,0.8666666666666666,0.6965558988304875
human,large,6111,nick,0.9,1.0,0.6,0.47521030874120457
human,large,6215,jason,0.7666666666666666,0.6666666666666666,0.8999999999999999,0.71451084453808
human,large,6215,nick,1.0,0.75,0.5,0.4234326349248582
human,large,6729,albert,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,6729,frederic,0.9333333333333332,1.0,0.9333333333333332,0.7290750273931262
human,large,6729,laurence,0.3333333333333333,0.6666666666666666,0.22222222222222224,0.1942609817826367
human,large,6729,martin,0.9166666666666666,1.0,0.9166666666666666,0.7194457547662724
human,large,6729,sam,1.0,0.5,0.16666666666666666,0.15403905242000324
human,large,6847,ben,1.0,0.75,0.75,0.6351489523872873
human,large,6847,cameron,0.75,1.0,0.5,0.4079037710719249
human,large,6847,lin,0.8055555555555555,1.0,0.8055555555555555,0.6598420178969874
human,large,6878,robert,0.8,0.6,0.5333333333333333,0.43288124098460007
human,large,6921,jude,0.5238095238095238,0.5,0.5396825396825397,0.4460787081222157
human,large,6921,matt,0.9444444444444445,0.8333333333333334,0.888888888888889,0.7087059121440348
human,large,6921,philip,0.3333333333333333,0.5,0.27777777777777773,0.22742059674605655
human,large,7065,jude,0.9333333333333332,0.8000000000000002,0.8666666666666667,0.6965558988304877
human,large,7065,matt,0.9166666666666666,0.8000000000000002,0.85,0.6892855306032342
human,large,7150,david,1.0,1.0,1.0,0.7615941559557649
human,large,7150,eric,1.0,0.8000000000000002,0.8000000000000002,0.664036770267849
human,large,7150,mark,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,7195,gerard,0.9333333333333332,,0.0,0.0
human,large,7195,jennifer,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.6771387724960558
human,large,7596,kevin,1.0,1.0,1.0,0.7615941559557649
human,large,7596,william,0.6000000000000001,0.4000000000000001,0.5333333333333333,0.43288124098460007
human,large,7702,donald,,,,
human,large,7702,jude,1.0,1.0,1.0,0.7615941559557649
human,large,7702,nicole,1.0,1.0,1.0,0.7615941559557649
human,large,8061,ellen,0.6805555555555555,0.5,0.8194444444444445,0.6737721155206927
human,large,8061,leonardo,0.8888888888888888,0.6,0.7111111111111111,0.6020811191159744
human,large,8061,robert,0.7777777777777778,0.5714285714285714,0.746031746031746,0.6247759264226209
human,large,8085,brooke,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,8085,linda,0.9333333333333332,1.0,0.9333333333333332,0.7290750273931262
human,large,8085,richard,0.8333333333333334,1.0,0.2777777777777778,0.22742059674605655
human,large,8085,sam,0.9444444444444445,0.5,0.5555555555555555,0.5023390866226433
human,large,8154,angelina,0.875,0.75,0.5833333333333334,0.4655810361143507
human,large,8154,fisher,0.9166666666666666,1.0,0.9166666666666666,0.7194457547662724
human,large,8154,jonny,0.6666666666666666,1.0,0.2222222222222222,0.1942609817826367
human,large,8154,matthew,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,8154,renoly,,1.0,0.0,0.0
human,large,8551,__NO_ANNOTATION__,,,,
human,large,9334,harrison,1.0,1.0,1.0,0.7615941559557649
human,large,9418,daniel,0.888888888888889,0.8333333333333334,0.9444444444444445,0.7351500340498998
human,large,9418,gary,1.0,0.75,0.25,0.2117163174624291
human,large,9418,john,1.0,0.6666666666666666,0.2222222222222222,0.1942609817826367
human,large,9914,matthew,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,9914,molly,,,,
human,large,9914,reese,1.0,0.6,0.6,0.5370495669980352
human,large,10408,ashton,0.8666666666666667,1.0,0.8666666666666667,0.6867459596365216
human,large,10408,greta,0.9333333333333332,1.0,0.9333333333333332,0.7290750273931262
human,large,10408,jake,0.8222222222222223,1.0,0.8222222222222223,0.6694712905238412
human,large,10408,natalie,1.0,,0.0,0.0
human,large,10486,robert,0.8888888888888888,0.75,0.8055555555555555,0.6648715302815678
human,large,10486,val,0.7777777777777778,1.0,0.7777777777777778,0.6491021752747498
human,large,10499,al,0.75,0.5,0.5,0.4079037710719249
human,large,10499,robert,0.875,1.0,0.5833333333333334,0.4655810361143507
human,large,10499,val,0.6666666666666666,,0.0,0.0
human,large,11260,colin,1.0,1.0,1.0,0.7615941559557649
human,large,11260,jamie,0.5,0.8000000000000002,0.4666666666666666,0.4003621124219614
human,large,11260,john,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,11340,brad,1.0,1.0,1.0,0.7615941559557649
human,large,11340,christoph,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,11340,daniel,,,,
human,large,11457,__NO_ANNOTATION__,,,,
human,large,11541,__NO_ANNOTATION__,,,,
human,large,11543,__NO_ANNOTATION__,,,,
human,large,11678,karen,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,11678,paul,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,11678,wolf,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,11719,billy,1.0,0.75,0.75,0.6351489523872873
human,large,11719,shia,1.0,0.5,0.5,0.46211715726000974
human,large,12358,__NO_ANNOTATION__,,,,
human,large,12423,hailee,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,12423,jeff,0.9333333333333332,0.8000000000000002,0.8666666666666667,0.6965558988304877
human,large,12423,matt,0.7999999999999999,0.8000000000000002,0.8666666666666667,0.6965558988304875
human,large,13596,emile,1.0,1.0,1.0,0.7615941559557649
human,large,13683,bill,1.0,0.75,0.5,0.4234326349248582
human,large,13683,christian,1.0,1.0,0.6666666666666666,0.5077294373038432
human,large,13683,terence,1.0,1.0,0.3333333333333333,0.2538647186519216
human,large,13683,tom,0.9444444444444445,0.8333333333333334,0.888888888888889,0.7087059121440348
claude45,original,5349,james,1.0,0.6,0.6,0.5370495669980352
claude45,original,5349,kim,1.0,1.0,1.0,0.7615941559557649
claude45,original,6921,jude,1.0,0.5,0.5,0.46211715726000974
claude45,original,6921,matt,1.0,0.8333333333333334,0.8333333333333334,0.6822617902381697
claude45,original,6921,philip,0.5714285714285714,0.5,0.9285714285714286,0.7299271541543952
claude45,original,7065,jude,0.75,0.8,0.95,0.7397830512740042
claude45,original,7065,matt,0.8,0.8,1.0,0.7615941559557649
claude45,original,1201,__NO_ANNOTATION__,,,,
claude45,original,9914,matthew,1.0,1.0,1.0,0.7615941559557649
claude45,original,9914,molly,,,,
claude45,original,9914,reese,0.6666666666666666,0.6,0.9333333333333333,0.7321442233518527
claude45,original,11678,karen,,1.0,0.0,0.0
claude45,original,11678,paul,,1.0,0.0,0.0
claude45,original,11678,wolf,1.0,1.0,1.0,0.7615941559557649
claude45,original,345,connie,1.0,0.8,0.8,0.664036770267849
