model,tc_mean,ic_mean,mcc_raw_mean,MCC_mean,MCC_std,count
claude45,0.8614657930355604,0.8401707272056108,0.5282204095630022,0.42059903173091084,0.26871811317579347,54
gpt4o,0.8672595976375046,0.8401707272056108,0.5725595238095238,0.45883604968467173,0.2792703721460606,54
human,0.8756992837785521,0.8401707272056108,0.4933061434450323,0.3929859224227118,0.27185969539505467,54
internvl3,0.8326967995870435,0.8401707272056108,0.5095387517146777,0.417650168108152,0.2756607265161266,54
llama4scout,0.9244528619528619,0.8401707272056108,0.11991965510484029,0.0981981557447477,0.2186338705746657,54
qwen3vl,0.8196059431524548,0.8401707272056108,0.5875382128159906,0.46813321753888837,0.2792757707394876,54
