model,tc_mean,ic_mean,mcc_raw_mean,MCC_mean,MCC_std,count
claude45,0.8585063676633443,0.8401707272056108,0.5425183715461492,0.4305717372862159,0.2670276187615364,54
gpt4o,0.8597074566260613,0.8401707272056108,0.6292181069958848,0.49314812816900505,0.29358288817035416,54
human,0.9069731040564375,0.840170727205611,0.5030654353648181,0.4034461324221297,0.2413484836600307,54
internvl3,0.8056421796360821,0.8401707272056108,0.49182539682539683,0.40348379506222537,0.26671719964862367,54
llama4scout,0.8890617484367483,0.8401707272056108,0.2900022491226195,0.23559021890640816,0.2794980227274971,54
qwen3vl,0.8252692743764172,0.8401707272056108,0.5684832451499118,0.45117174959861367,0.2802763143861424,54
