model,prompt,story_id,mcc_raw,MCC
human,original,13683,0.39583333333333337,0.3763781683131265
human,original,13596,0.0,0.0
human,original,12423,0.6,0.5370495669980352
human,original,12358,,
human,original,11719,0.75,0.6351489523872873
human,original,11678,0.26666666666666666,0.2605204458355026
human,original,11543,,
human,original,11541,,
human,original,11457,,
human,original,11340,0.5,0.46211715726000974
human,original,11260,0.5666666666666667,0.5129070584608084
human,original,10499,0.5,0.46211715726000974
human,original,10486,0.875,0.703905603936621
human,original,10408,0.75,0.6351489523872873
human,original,9914,0.7,0.6043677771171634
human,original,9418,0.32222222222222224,0.31151488232481983
human,original,9334,0.8333333333333334,0.6822617902381697
human,original,8551,,
human,original,8154,0.55,0.5005202111902353
human,original,8085,0.75,0.6351489523872873
human,original,8061,0.7904761904761904,0.658678712117796
human,original,7702,1.0,0.7615941559557649
human,original,7596,0.6166666666666667,0.5488029060285572
human,original,7195,0.8666666666666666,0.6996765874203054
human,original,7150,0.9833333333333334,0.7545052589201566
human,original,7065,0.9,0.7162978701990245
human,original,6921,0.865079365079365,0.6988654449103636
human,original,6878,0.0,0.0
human,original,6847,0.47222222222222215,0.4399930792892351
human,original,6729,0.2,0.197375320224904
human,original,6215,1.0,0.7615941559557649
human,original,6111,0.6666666666666666,0.5827829453479101
human,original,5721,,
human,original,5540,,
human,original,5349,0.9666666666666667,0.7472358212839743
human,original,5265,0.6499999999999999,0.5716699660851171
human,original,5201,0.5338095238095237,0.4882877217753479
human,original,5062,,
human,original,5047,,
human,original,4797,0.5,0.46211715726000974
human,original,4173,0.6416666666666666,0.566033298534397
human,original,4047,,
human,original,3891,0.9,0.7162978701990245
human,original,3761,0.8,0.664036770267849
human,original,3295,0.5833333333333334,0.525083943312195
human,original,3230,1.0,0.7615941559557649
human,original,2926,0.41666666666666663,0.3941185679308145
human,original,2722,,
human,original,2702,0.4,0.3799489622552249
human,original,2400,0.76,0.6410769611853464
human,original,1467,1.0,0.7615941559557649
human,original,1214,0.6666666666666666,0.5827829453479101
human,original,1201,,
human,original,1111,,
human,original,948,0.3666666666666667,0.35107264597890847
human,original,733,0.9,0.7162978701990245
human,original,723,0.825,0.6777821008468294
human,original,721,0.75,0.6351489523872873
human,original,515,0.8111111111111112,0.6702027468875122
human,original,345,0.975,0.7508932836251672
human,large,345,0.8583333333333334,0.6941410680233231
human,large,515,0.8132716049382717,0.6710942186774859
human,large,721,0.6083333333333333,0.5403615522421851
human,large,723,0.625,0.5545997223493823
human,large,733,0.8722222222222222,0.7003361002888796
human,large,948,0.6486111111111111,0.5636494517616725
human,large,1111,,
human,large,1201,,
human,large,1214,0.4444444444444445,0.3814596491660598
human,large,1467,0.625,0.4884999199641286
human,large,2400,0.36999999999999994,0.30616919143386795
human,large,2702,0.6666666666666666,0.5668715365238043
human,large,2722,,
human,large,2926,0.6541666666666667,0.5665317034398648
human,large,3230,0.5833333333333334,0.4655810361143507
human,large,3295,0.48888888888888893,0.4122420514727802
human,large,3761,0.7333333333333334,0.6141505992422944
human,large,3891,0.6333333333333333,0.5468440615730147
human,large,4047,,
human,large,4173,0.4365079365079365,0.38279940073470226
human,large,4797,0.5,0.4079037710719249
human,large,5047,,
human,large,5062,,
human,large,5201,0.6424603174603175,0.5643311608851863
human,large,5265,0.6583333333333333,0.5740058803157576
human,large,5349,0.8555555555555556,0.6917697872732241
human,large,5540,,
human,large,5721,,
human,large,6111,0.7851851851851851,0.6382016187343789
human,large,6215,0.7000000000000001,0.5967130461463087
human,large,6729,0.5144444444444445,0.4686924832814638
human,large,6847,0.6851851851851851,0.585801273971564
human,large,6878,0.5333333333333333,0.43288124098460007
human,large,6921,0.5687830687830688,0.49558711605059996
human,large,7065,0.8583333333333334,0.6947467481344982
human,large,7150,0.7111111111111111,0.6020811191159744
human,large,7195,0.4166666666666667,0.3929874851652859
human,large,7596,0.7666666666666666,0.6292493611612079
human,large,7702,1.0,0.7615941559557649
human,large,8061,0.7588624338624338,0.6367592483446919
human,large,8085,0.525,0.4788810909765709
human,large,8154,0.4777777777777778,0.44008037634302827
human,large,8551,,
human,large,9334,1.0,0.7615941559557649
human,large,9418,0.47222222222222215,0.4335344865169244
human,large,9914,0.6333333333333334,0.5397953843290964
human,large,10408,0.8018518518518518,0.6607303508578893
human,large,10486,0.7916666666666666,0.6576294708737497
human,large,10499,0.36111111111111116,0.32906703352406824
human,large,11260,0.7111111111111111,0.584444516101264
human,large,11340,0.8333333333333334,0.6617684897238465
human,large,11457,,
human,large,11541,,
human,large,11543,,
human,large,11678,0.4444444444444444,0.36103563116246634
human,large,11719,0.625,0.5545997223493823
human,large,12358,,
human,large,12423,0.7999999999999999,0.6497319086751955
human,large,13596,1.0,0.7615941559557649
human,large,13683,0.5972222222222222,0.5181859670102283
claude45,original,5349,0.8,0.664036770267849
claude45,original,6921,0.753968253968254,0.637510392144031
claude45,original,7065,0.975,0.7508932836251672
claude45,original,1201,,
claude45,original,9914,0.9666666666666667,0.7472358212839743
claude45,original,11678,0.3333333333333333,0.32151273753163434
claude45,original,345,0.9,0.7162978701990245
claude45,original,721,0.5,0.46211715726000974
claude45,original,7195,0.4333333333333333,0.40810325523432484
claude45,original,2400,0.8,0.664036770267849
claude45,original,3761,0.8999999999999999,0.7162978701990244
claude45,original,5540,,
claude45,original,3295,0.6666666666666666,0.5827829453479101
claude45,original,1214,1.0,0.7615941559557649
claude45,original,723,0.9107142857142857,0.7214749119973186
claude45,original,5062,,
claude45,original,6878,0.8,0.664036770267849
claude45,original,6729,0.5190476190476191,0.4769646276369566
claude45,original,8061,0.9301587301587301,0.7306678926822323
claude45,original,11719,0.725,0.619996867969374
claude45,original,12358,,
claude45,original,12423,0.9333333333333332,0.7321442233518526
claude45,original,5047,,
claude45,original,13683,0.41666666666666663,0.3941185679308145
claude45,original,5201,0.7571428571428571,0.6393909623878872
claude45,original,3891,0.5,0.46211715726000974
claude45,original,8551,,
claude45,original,2926,0.575,0.5190218338982221
claude45,original,3230,0.3333333333333333,0.32151273753163434
claude45,original,733,0.9,0.7162978701990245
claude45,original,4173,0.975,0.7508932836251672
claude45,original,10408,1.0,0.7615941559557649
claude45,original,8154,1.0,0.7615941559557649
claude45,original,5265,0.7749999999999999,0.6498274636719203
claude45,original,11340,0.3333333333333333,0.32151273753163434
claude45,original,10486,0.375,0.35835739835078595
claude45,original,11541,,
claude45,original,11543,,
claude45,original,11457,,
claude45,original,2702,0.4,0.3799489622552249
claude45,original,11260,0.6222222222222222,0.5526733731353448
claude45,original,1467,0.5,0.46211715726000974
claude45,original,9334,0.8333333333333334,0.6822617902381697
claude45,original,6215,0.375,0.35835739835078595
claude45,original,9418,0.8333333333333334,0.6822617902381697
