model,tc_mean,ic_mean,mcc_raw_mean,MCC_mean,MCC_std,count
claude45,0.8535750872453,0.8285959135427221,0.5133150352733685,0.40913160984737384,0.2678619527311392,60
gpt4o,0.8714644545761567,0.8285959135427221,0.5497480158730159,0.4412998872250398,0.2816613600068825,60
human,0.873044532627866,0.8285959135427221,0.47730886243386245,0.3813893857527059,0.27120566635446286,60
internvl3,0.8397904174015286,0.8285959135427221,0.48858487654320987,0.4018636639055058,0.273967632604683,60
llama4scout,0.9307484567901234,0.8285959135427221,0.1162610229276896,0.09517673635480502,0.21301010538716836,60
qwen3vl,0.8181146572104018,0.8285959135427221,0.5562843915343916,0.44307537676086817,0.2802507487077698,60
