model,groovist_mean,MCC_mean,mci_tanh_mcc_over_gv_mean,mci_tanh_mcc_over_gv_std,mci_tanh_gv_over_mcc_mean,count
claude45,0.7502508270624516,0.42059903173091084,0.470925553524606,0.2837180286584471,0.8968938179129295,54
gpt4o,0.567797588751556,0.45883604968467173,0.5893688228900099,0.3410538428240347,0.7943822484846425,54
human,0.45089756647663076,0.3929859224227118,0.45700264490587483,0.5090552788054428,0.6470289869609016,54
internvl3,0.5962030329009445,0.417650168108152,0.5463414745152765,0.3379291068949946,0.8284294425639301,54
llama4scout,0.3653694377859808,0.09819815574474769,0.1506825902515849,0.32716873645686234,0.8510872892543757,54
qwen3vl,0.7250162196513729,0.46813321753888837,0.5183829468860474,0.2978847692910923,0.8675451684799447,54
