model,groovist_mean,MCC_mean,mci_tanh_mcc_over_gv_mean,mci_tanh_mcc_over_gv_std,mci_tanh_gv_over_mcc_mean,count
claude45,0.7488184759547448,0.40913160984737384,0.45878319749890634,0.28351969998232307,0.9025107164647641,60
gpt4o,0.5591737420127514,0.4412998872250398,0.5717522779019701,0.34251993964745375,0.8056328454458604,60
human,0.45428859052324033,0.3813893857527059,0.44685353534509176,0.4946526332118992,0.6722869502264578,60
internvl3,0.5957361314826091,0.4018636639055058,0.5281008615499372,0.3369851320507753,0.839450602981632,60
llama4scout,0.35251684492063406,0.095176736354805,0.14843740157069887,0.3233590312467331,0.8285406888809899,60
qwen3vl,0.723372305488783,0.4430753767608681,0.4927255130708297,0.29924972821346835,0.8794333129034559,60
