model,groovist_mean,MCC_mean,mci_tanh_mcc_over_gv_mean,mci_tanh_mcc_over_gv_std,mci_tanh_gv_over_mcc_mean,count
claude45,0.7290175869574766,0.4305717372862159,0.4871147677554518,0.29511963223782595,0.8841691034756541,54
gpt4o,0.5680973026793031,0.49314812816900505,0.6157829441483398,0.34930846500984286,0.7688274227531695,54
human,0.5826450260500952,0.4034461324221297,0.5537855969310544,0.32346076990662703,0.8286271674638953,54
internvl3,0.5958994478859637,0.40348379506222537,0.5223005179804491,0.33346669983498795,0.8417162491904965,54
llama4scout,0.3134197811761131,0.23559021890640816,0.35850578202414746,0.48966526925705417,0.6485374417653332,54
qwen3vl,0.7575693219458809,0.45117174959861367,0.4930490646205295,0.2980474610664172,0.8801433469434179,54
